reaction	linear_coefficient
CYANSTpp	0.5
FACOAE181	0.5
FACOAE180	0.5
FACOAE100	0.5
FACOAE140	0.5
FACOAE60	0.5
FACOAE160	0.5
FACOAE80	0.5
FACOAE161	0.5
FACOAE120	0.5
FACOAE141	0.5
LALGP	0.5
CYNTt2pp	0.5
ANHMK	0.5
CYS	0.5
CYSTS	0.5
FACOAL80t2pp	0.5
FACOAL160t2pp	0.5
FACOAL120t2pp	0.5
FACOAL141t2pp	0.5
FACOAL100t2pp	0.5
FACOAL180t2pp	0.5
FACOAL181t2pp	0.5
FACOAL161t2pp	0.5
FACOAL60t2pp	0.5
FACOAL140t2pp	0.5
ANPRT	0.5
ANS	0.5
FLVRx	0.5
FE3Ri	0.5
FMNRx	0.5
FADRx	0.5
FLVR	0.5
FMNRx2	0.5
SULR	0.5
FADRx2	0.5
CYSDDS	0.5
AOXSr	0.5
CYSDS	0.5
CYSTL	0.5
AP4AH	0.5
AP5AH	0.5
GP4GH	0.5
DHPPDA2	0.5
APRAUR	0.5
CYSS	0.5
FBA	0.5
ARAI	0.5
LEUTAi	0.5
ARAT	0.5
TRPTA	0.5
FBP	0.5
FEOXAMabcpp	0.5
ARBTNabcpp	0.5
FECRMabcpp	0.5
CPGNabcpp	0.5
FE3HOXabcpp	0.5
CYSSADS	0.5
CYSTGL	0.5
ARBt2rpp	0.5
CYSTRS	0.5
ARBt3ipp	0.5
LCTSt3ipp	0.5
MELIBt3ipp	0.5
FCI	0.5
FCLK	0.5
ARD1	0.5
FCLPA	0.5
CYSabc2pp	0.5
GTHRDabc2pp	0.5
GF6PTA	0.5
CYTBDpp	0.5
GGGABAH	0.5
FDH4pp_1	0.5
FDH5pp_1	0.5
GGPTRCO	0.5
GLNS	0.5
GGPTRCS	0.5
CYTBO3_4pp	0.5
GLA	0.5
GLBRAN2	0.5
MALTATr	0.5
GLCATr	0.5
FDMO4	0.5
FDMO	0.5
FDMO6	0.5
FDMO2	0.5
FDMO3	0.5
DCYTD	0.5
CYTD	0.5
GLCDpp	0.5
FE2abcpp	0.5
FE2t2pp	0.5
MNt2pp	0.5
FEENTERabcpp	0.5
FE3DHBZSabcpp	0.5
GLCNt2rpp	0.5
CYTDK2	0.5
URIK2	0.5
CYTK2	0.5
CYTK1	0.5
UMPK	0.5
SUCOAS	0.5
GLCOAS	0.5
MLTP3	0.5
MLTP2	0.5
MLTP1	0.5
GLCP2	0.5
GLCP	0.5
GLYCLTt2rpp	0.5
L_LACt2rpp	0.5
D_LACt2pp	0.5
D5KGK	0.5
GLCRAL	0.5
DAAD	0.5
GLCRD	0.5
DAGK140	0.5
DAGK161	0.5
DAGK181	0.5
DAGK160	0.5
DAGK141	0.5
DAGK120	0.5
DAGK180	0.5
DAPAL	0.5
GLCS1	0.5
DAPDC	0.5
DAPE	0.5
DASYN141	0.5
DASYN160	0.5
DASYN180	0.5
DASYN181	0.5
DASYN120	0.5
DASYN140	0.5
DASYN161	0.5
GLDBRAN2	0.5
FEENTERtpp	0.5
DB4PS	0.5
GLGC	0.5
DBTS	0.5
DCTPD	0.5
FFSD	0.5
GLNTRS	0.5
FFSD1r	0.5
HDCEAtexi	0.5
TTDCEAtexi	0.5
TTDCAtexi	0.5
HDCAtexi	0.5
OCDCAtexi	0.5
OCDCEAtexi	0.5
DDCAtexi	0.5
GLNabcpp	0.5
DDGALK	0.5
FGLU	0.5
DDGLCNt2rpp	0.5
GLTPD	0.5
DDGLK	0.5
DDPA	0.5
FHL	0.5
HYD1pp	0.5
GLU5K	0.5
GLUCYS	0.5
GLUDxi	0.5
GLUDy	0.5
DDPGALA	0.5
GLUPRT	0.5
GK1	0.5
DGK1	0.5
GLUR	0.5
DHAD2	0.5
DHAD1	0.5
GLUSy	0.5
DHAK	0.5
RNTR4c	0.5
RNTR3c	0.5
RNTR1c	0.5
RNTR2c	0.5
FLDR	0.5
GLUTRR	0.5
GLUTRS	0.5
FMETTRS	0.5
GLUt4pp	0.5
UREAtpp	0.5
GLYALDtpp	0.5
